    21.186,    243.950,     27.423,     23.000,      0.030,    166.000,     66.000,     17.758,      0.000
    13.712,    243.185,     26.675,     20.500,      0.030,    110.000,     39.000,     21.077,      0.000
    10.902,    242.781,     26.894,     23.000,      0.020,     53.000,     14.000,      7.520,      0.000
    10.372,    242.513,     26.753,     22.000,      0.020,     52.000,     25.000,      8.162,      0.000
    10.363,    242.329,     27.362,     22.500,      0.030,     76.000,     19.000,     17.634,      0.000
     8.470,    242.981,     27.615,     23.000,      0.020,     40.000,     17.000,      7.452,      0.000
     8.380,    242.410,     26.972,     23.000,      0.020,     39.000,      9.000,      7.242,      0.000
     7.479,    243.286,     26.525,     23.000,      0.230,   1122.000,    295.000,    890.373,      0.000
     6.391,    244.313,     27.631,     23.000,      0.040,     73.000,     21.000,     31.510,      0.000
     3.511,    243.081,     28.315,     22.500,      0.020,     19.000,      6.000,      7.920,      0.000
     3.464,    242.356,     26.822,     22.500,      0.170,    637.000,    145.000,    554.158,      0.000
     2.541,    244.212,     27.732,     22.500,      0.150,    543.000,    107.000,    486.563,      0.000
     2.446,    243.375,     26.035,     22.500,      0.060,     88.000,     16.000,     67.590,      0.000
     2.162,    242.788,     27.884,     22.500,      0.030,     27.000,      6.000,     17.809,      0.000
     1.539,    244.021,     27.913,     22.500,      0.010,      4.000,      1.000,      2.097,      0.000
     1.448,    242.508,     27.393,     22.500,      0.050,     60.000,     15.000,     50.078,      0.000
